LOAN_AMOUNT,CREDIT_SCORE,MONTHLY_INCOME,DEBT_TO_INCOME_RATIO,LOAN_TERM_MONTHS,EMPLOYMENT_STATUS,EDUCATION_LEVEL,LOAN_PURPOSE,STATE,LOAN_DEFAULT
17721,718,6102,0.20,37,Employed,High School,Home,OH,0
1000,696,2611,0.07,53,Self-Employed,Masters,Education,OH,0
13619,496,500,0.21,28,Employed,Masters,Home,GA,1
16437,657,7048,0.27,24,Employed,High School,Car,CA,0
18375,837,9791,0.18,41,Unemployed,High School,Debt Consolidation,FL,0
6973,620,3426,0.38,36,Self-Employed,Bachelors,Business,NC,0
19551,725,4170,0.21,46,Employed,Masters,Car,OH,0
3448,421,1231,0.35,13,Employed,Bachelors,Education,TX,0
1000,844,5773,0.30,65,Employed,High School,Education,NC,0
1000,713,4364,0.20,48,Employed,Masters,Debt Consolidation,NY,0
20992,585,3828,0.32,24,Employed,PhD,Home,NC,1
22379,850,6766,0.14,65,Self-Employed,Bachelors,Home,FL,1
21218,793,6688,0.27,46,Self-Employed,High School,Home,IL,0
7258,695,5006,0.17,40,Employed,High School,Car,CA,0
20497,403,500,0.13,14,Unemployed,Bachelors,Education,NC,1
1000,581,2214,0.07,34,Employed,High School,Car,GA,0
2125,530,1448,0.21,29,Unemployed,High School,Education,OH,0
15115,674,2931,0.47,46,Employed,Masters,Car,OH,0
20305,756,4638,0.21,49,Employed,PhD,Home,NY,0
21159,584,2722,0.40,30,Self-Employed,High School,Education,CA,1
5586,618,1965,0.23,41,Employed,Masters,Business,NC,0
26779,651,4290,0.41,33,Employed,High School,Car,NC,0
19383,822,7928,0.19,46,Employed,High School,Business,TX,0
19247,424,1586,0.42,9,Employed,Bachelors,Home,IL,1
13623,501,3019,0.38,17,Employed,High School,Home,NY,1
20813,711,3952,0.28,45,Self-Employed,Masters,Business,CA,1
12259,371,1332,0.34,6,Employed,High School,Home,IL,0
13315,506,2914,0.17,16,Self-Employed,High School,Business,IL,1
11655,454,711,0.14,16,Employed,High School,Debt Consolidation,IL,1
23267,850,2809,0.13,71,Employed,Bachelors,Home,TX,1
18310,418,3253,0.31,6,Employed,High School,Education,FL,1
27304,763,4464,0.40,50,Employed,High School,Education,GA,1
8015,706,5936,0.38,40,Self-Employed,High School,Education,NC,0
1852,622,3837,0.15,34,Self-Employed,Bachelors,Debt Consolidation,NY,0
14589,427,500,0.18,15,Unemployed,High School,Car,NC,0
14900,678,6927,0.16,27,Employed,High School,Car,NY,0
5089,362,2089,0.42,6,Employed,High School,Education,CA,1
34561,746,8265,0.23,28,Employed,High School,Education,GA,1
18953,808,4790,0.07,55,Unemployed,High School,Education,IL,0
19824,837,7120,0.15,51,Employed,Bachelors,Business,CA,0
17789,466,2132,0.30,13,Employed,High School,Car,CA,0
1000,825,6366,0.05,57,Employed,Masters,Education,FL,0
23447,681,3592,0.38,41,Unemployed,Bachelors,Car,TX,0
4760,493,906,0.18,25,Unemployed,High School,Car,TX,1
17730,561,2517,0.54,29,Self-Employed,High School,Education,OH,1
15431,389,2229,0.32,6,Employed,High School,Home,NY,1
15633,540,3463,0.13,18,Self-Employed,Bachelors,Debt Consolidation,FL,1
1324,314,551,0.43,6,Employed,High School,Home,TX,0
22366,801,3520,0.32,61,Employed,Bachelors,Business,NY,1
16199,572,2879,0.54,30,Unemployed,High School,Business,TX,1
15591,591,873,0.45,41,Employed,PhD,Home,TX,1
10705,449,500,0.05,25,Unemployed,Bachelors,Car,FL,1
16069,498,1354,0.42,23,Self-Employed,Masters,Debt Consolidation,CA,1
6055,614,2701,0.13,36,Employed,High School,Education,FL,0
6867,489,500,0.05,25,Employed,Masters,Business,IL,1
15608,726,9326,0.21,25,Employed,High School,Debt Consolidation,NC,0
17777,562,2356,0.38,28,Employed,High School,Debt Consolidation,IL,1
4971,622,5665,0.27,27,Employed,Masters,Car,FL,1
12463,450,500,0.45,22,Unemployed,High School,Car,NY,1
4727,626,4420,0.36,34,Unemployed,High School,Home,GA,0
21794,746,3948,0.27,50,Employed,Bachelors,Debt Consolidation,OH,0
3459,510,1305,0.16,26,Employed,Masters,Car,NY,0
25561,636,3898,0.41,32,Self-Employed,Masters,Education,TX,1
6143,498,2177,0.38,22,Employed,Bachelors,Debt Consolidation,OH,0
23181,667,2564,0.46,44,Employed,Masters,Debt Consolidation,TX,1
15563,525,1487,0.40,27,Self-Employed,High School,Home,OH,1
16171,393,500,0.14,6,Retired,High School,Debt Consolidation,GA,1
20444,500,2004,0.45,19,Self-Employed,High School,Education,NC,1
7513,384,500,0.40,10,Employed,PhD,Home,IL,1
1425,652,4245,0.29,39,Unemployed,Bachelors,Car,IL,0
17055,513,1622,0.41,24,Unemployed,PhD,Home,FL,1
19638,576,808,0.53,38,Employed,High School,Business,GA,1
1000,617,4074,0.05,32,Employed,PhD,Home,NY,1
19664,581,2093,0.42,32,Employed,Masters,Education,FL,0
8883,455,3148,0.35,9,Employed,Bachelors,Debt Consolidation,NY,0
8298,431,500,0.28,26,Employed,Masters,Business,GA,1
15461,404,2924,0.27,6,Employed,Bachelors,Home,NC,1
16621,517,991,0.45,28,Unemployed,High School,Education,FL,1
23344,303,500,0.23,6,Employed,Bachelors,Education,CA,0
1365,617,2522,0.09,38,Employed,Bachelors,Business,OH,1
19234,530,680,0.53,31,Unemployed,High School,Debt Consolidation,TX,1
23644,466,4405,0.44,6,Employed,Masters,Car,OH,1
16005,498,3301,0.16,12,Unemployed,Bachelors,Car,NY,1
9410,581,3050,0.26,30,Self-Employed,Bachelors,Education,OH,1
26924,567,5077,0.33,15,Unemployed,High School,Car,GA,0
3656,555,3239,0.11,25,Employed,Bachelors,Education,TX,0
21041,632,2534,0.41,39,Self-Employed,Bachelors,Business,TX,1
17305,441,500,0.35,24,Employed,High School,Business,IL,1
6764,387,500,0.05,14,Employed,High School,Home,NC,1
8365,572,2644,0.23,30,Employed,High School,Education,CA,1
6131,607,3533,0.15,32,Unemployed,Bachelors,Car,IL,0
9765,608,3781,0.10,29,Self-Employed,Bachelors,Education,FL,0
13106,521,649,0.05,26,Employed,High School,Business,NC,1
8755,574,3577,0.18,26,Employed,High School,Debt Consolidation,NY,0
14233,424,2015,0.32,7,Employed,Masters,Debt Consolidation,TX,1
5863,575,1512,0.24,36,Unemployed,Bachelors,Business,IL,1
16405,659,6207,0.23,27,Employed,Masters,Business,TX,0
15617,480,887,0.44,22,Employed,PhD,Car,OH,0
1000,337,500,0.34,7,Self-Employed,High School,Debt Consolidation,GA,0
11027,387,500,0.16,13,Retired,Bachelors,Business,CA,1
20747,815,4405,0.13,59,Employed,High School,Business,GA,0
19033,516,3451,0.30,15,Employed,High School,Car,IL,1
17218,430,2648,0.32,6,Employed,High School,Education,NC,0
5850,714,7795,0.24,33,Unemployed,High School,Car,NC,0
22609,495,4080,0.32,8,Employed,High School,Debt Consolidation,CA,1
19858,585,5294,0.45,20,Employed,Bachelors,Car,TX,0
22161,588,2413,0.45,32,Unemployed,High School,Car,NC,1
34129,641,8526,0.20,9,Employed,High School,Home,FL,0
13783,712,4490,0.57,47,Unemployed,Bachelors,Home,NY,1
17194,683,6204,0.23,31,Self-Employed,Masters,Business,GA,0
1000,728,5400,0.09,46,Employed,Bachelors,Education,NY,0
24101,743,3656,0.42,52,Employed,High School,Education,NC,0
19807,489,1825,0.45,18,Employed,Bachelors,Education,NY,1
14862,784,4157,0.34,58,Self-Employed,High School,Education,GA,0
22764,598,2465,0.46,33,Self-Employed,Masters,Debt Consolidation,NY,1
20279,666,4369,0.34,36,Employed,PhD,Business,OH,1
15447,761,8275,0.11,34,Employed,Masters,Car,TX,0
7353,561,2829,0.11,26,Employed,Bachelors,Car,IL,0
9321,545,4430,0.24,18,Retired,High School,Business,NY,0
22672,553,3154,0.41,22,Self-Employed,High School,Debt Consolidation,IL,1
12177,534,500,0.12,31,Self-Employed,Masters,Business,CA,1
8498,542,2257,0.25,27,Employed,High School,Business,CA,1
23189,622,1642,0.53,41,Employed,High School,Business,GA,0
21928,300,500,0.35,6,Employed,High School,Debt Consolidation,IL,1
22297,592,3914,0.33,25,Unemployed,High School,Car,TX,0
9663,526,1758,0.40,27,Employed,PhD,Education,FL,1
19499,788,6904,0.21,45,Employed,PhD,Home,TX,0
4607,501,2965,0.39,19,Self-Employed,Bachelors,Debt Consolidation,IL,0
8660,563,1148,0.06,33,Employed,Bachelors,Car,NY,1
12390,300,539,0.46,6,Employed,Masters,Debt Consolidation,TX,1
23635,834,6785,0.32,53,Employed,Masters,Debt Consolidation,CA,0
3582,691,4152,0.13,44,Self-Employed,Masters,Car,NY,0
4480,706,5333,0.18,41,Self-Employed,Masters,Home,IL,0
1000,601,2873,0.14,35,Employed,Masters,Business,TX,1
14518,401,500,0.19,17,Employed,Masters,Home,CA,0
17796,537,500,0.54,35,Self-Employed,Masters,Home,NC,1
1915,515,819,0.14,29,Self-Employed,Bachelors,Education,FL,1
19440,410,500,0.18,10,Self-Employed,High School,Business,OH,0
2621,548,3378,0.23,24,Employed,Bachelors,Home,IL,0
12009,644,4638,0.39,34,Unemployed,Bachelors,Business,FL,0
8545,469,1210,0.45,21,Employed,Bachelors,Home,CA,1
6008,709,7625,0.40,34,Self-Employed,PhD,Car,GA,0
15918,415,500,0.05,13,Employed,High School,Home,CA,1
1381,500,500,0.10,34,Employed,Masters,Debt Consolidation,FL,0
13750,380,500,0.18,10,Unemployed,High School,Car,OH,1
6312,571,2169,0.21,32,Retired,Masters,Home,GA,0
18221,561,3043,0.42,26,Employed,Bachelors,Education,NC,1
17184,375,2583,0.33,6,Self-Employed,Masters,Debt Consolidation,CA,1
24244,850,7124,0.28,60,Employed,High School,Home,NC,0
20464,621,1938,0.46,40,Unemployed,Masters,Home,OH,1
1000,726,4426,0.20,50,Employed,PhD,Business,NC,0
27739,627,4821,0.36,26,Self-Employed,Bachelors,Debt Consolidation,IL,1
10566,460,500,0.23,21,Self-Employed,Masters,Car,CA,1
11267,494,500,0.16,26,Unemployed,PhD,Debt Consolidation,CA,0
7488,637,2555,0.13,40,Employed,Bachelors,Business,IL,0
8703,669,2557,0.40,48,Unemployed,High School,Business,IL,0
13770,392,654,0.41,9,Employed,Masters,Home,OH,1
1027,600,2635,0.07,35,Employed,High School,Education,TX,0
21004,830,7334,0.23,49,Unemployed,Bachelors,Business,NC,0
17855,481,2189,0.39,16,Employed,Bachelors,Debt Consolidation,GA,1
15455,405,1318,0.40,7,Self-Employed,PhD,Business,NC,1
9857,400,500,0.48,18,Employed,High School,Education,NC,1
8647,667,6121,0.37,32,Retired,High School,Business,NY,0
4823,570,3675,0.30,27,Employed,Bachelors,Car,TX,0
21755,487,2692,0.42,14,Self-Employed,Masters,Debt Consolidation,TX,1
19315,461,1671,0.45,15,Self-Employed,High School,Car,TX,1
7423,486,500,0.05,35,Employed,High School,Car,CA,1
10499,624,4127,0.48,34,Unemployed,High School,Car,GA,0
22055,675,2379,0.46,47,Employed,Bachelors,Business,TX,1
14873,353,500,0.34,10,Employed,High School,Home,GA,1
21166,509,2288,0.44,19,Self-Employed,Masters,Car,CA,1
20720,531,3269,0.35,18,Employed,Masters,Debt Consolidation,OH,1
23982,424,2797,0.33,6,Self-Employed,High School,Car,IL,1
16491,621,1320,0.44,43,Unemployed,PhD,Education,IL,1
26921,379,1237,0.26,6,Unemployed,Bachelors,Business,CA,1
22001,555,1680,0.51,30,Employed,High School,Business,NC,1
4412,615,3469,0.35,36,Employed,High School,Debt Consolidation,FL,0
11345,494,2275,0.05,15,Unemployed,Masters,Home,CA,1
15592,442,571,0.47,17,Employed,High School,Debt Consolidation,NC,1
17440,724,5058,0.14,42,Employed,High School,Business,CA,0
23061,652,4349,0.58,35,Self-Employed,High School,Debt Consolidation,FL,0
20988,505,1923,0.46,21,Employed,PhD,Debt Consolidation,IL,0
15475,589,1440,0.40,38,Employed,High School,Car,OH,1
26503,692,5130,0.32,35,Employed,High School,Education,OH,1
19821,541,2510,0.40,24,Employed,High School,Business,NC,1
11925,587,3804,0.41,28,Retired,High School,Business,GA,1
11553,552,3606,0.26,22,Self-Employed,High School,Business,IL,0
25069,619,5410,0.26,22,Employed,High School,Car,FL,1
22008,850,5953,0.13,64,Employed,Masters,Debt Consolidation,GA,0
24990,543,4359,0.34,14,Employed,High School,Car,CA,1
15394,401,500,0.50,13,Unemployed,Bachelors,Debt Consolidation,FL,1
9426,526,980,0.07,27,Unemployed,Masters,Education,OH,1
19449,514,2081,0.41,21,Employed,Bachelors,Debt Consolidation,NC,1
12545,331,500,0.45,6,Self-Employed,High School,Car,GA,1
20210,538,3766,0.61,20,Employed,Bachelors,Education,GA,1
7102,639,3716,0.15,36,Unemployed,High School,Education,IL,0
17304,403,500,0.22,8,Self-Employed,High School,Education,TX,1
14268,358,3159,0.23,6,Self-Employed,Masters,Car,CA,0
10808,580,2004,0.29,34,Unemployed,Bachelors,Car,NC,1
19267,730,4694,0.21,44,Employed,Masters,Business,NY,0
14552,529,1059,0.41,29,Employed,Bachelors,Home,GA,0
19903,848,6571,0.12,55,Employed,High School,Home,FL,0
8283,497,1899,0.20,20,Employed,Bachelors,Car,GA,0
16982,528,2737,0.41,22,Self-Employed,Bachelors,Education,FL,1
13864,675,5136,0.05,33,Employed,PhD,Home,GA,0
9340,440,772,0.33,17,Unemployed,Bachelors,Debt Consolidation,IL,1
16629,570,604,0.50,39,Unemployed,Bachelors,Business,TX,1
23490,850,2261,0.09,77,Employed,Masters,Debt Consolidation,CA,0
14953,452,878,0.41,17,Unemployed,High School,Home,CA,1
21050,664,3148,0.38,41,Employed,Bachelors,Home,IL,1
13638,575,6484,0.24,13,Employed,High School,Business,CA,0
20617,485,2621,0.40,14,Employed,High School,Education,NY,1
8285,594,1784,0.33,38,Self-Employed,High School,Debt Consolidation,CA,1
17713,357,2777,0.32,6,Employed,High School,Education,CA,1
14929,679,4227,0.51,42,Employed,Bachelors,Car,IL,1
20775,639,1742,0.48,44,Unemployed,Bachelors,Car,TX,1
28433,300,500,0.28,6,Employed,High School,Debt Consolidation,CA,1
20210,300,500,0.40,6,Self-Employed,Masters,Education,FL,1
17766,770,2909,0.05,57,Employed,High School,Debt Consolidation,CA,0
1000,452,2520,0.46,15,Employed,Bachelors,Car,OH,0
10162,582,5761,0.35,19,Employed,High School,Debt Consolidation,FL,0
14672,503,2085,0.51,22,Unemployed,Bachelors,Car,GA,1
13409,322,500,0.42,6,Retired,High School,Car,NY,1
11936,527,3123,0.06,18,Employed,Bachelors,Business,NC,0
4424,665,7109,0.05,25,Employed,High School,Business,FL,0
26068,734,3942,0.41,48,Unemployed,High School,Education,CA,1
9730,480,500,0.05,27,Self-Employed,Bachelors,Business,OH,1
9803,450,2189,0.33,12,Self-Employed,Bachelors,Debt Consolidation,IL,1
1260,663,3404,0.30,45,Unemployed,High School,Education,GA,0
18014,556,500,0.54,37,Self-Employed,Bachelors,Education,TX,1
9014,534,3401,0.25,20,Employed,High School,Car,IL,1
21705,785,5588,0.27,50,Retired,High School,Education,FL,0
7393,589,1837,0.18,36,Unemployed,Bachelors,Education,IL,0
16524,479,852,0.33,21,Self-Employed,High School,Car,OH,0
20536,839,3576,0.06,65,Employed,Bachelors,Business,IL,1
1000,606,3283,0.12,35,Unemployed,High School,Business,OH,0
4220,634,3341,0.18,38,Employed,Masters,Education,NY,0
19189,343,500,0.20,8,Unemployed,Bachelors,Business,OH,1
15579,425,1144,0.42,12,Self-Employed,High School,Education,NY,1
9324,453,1237,0.35,17,Employed,Bachelors,Education,FL,1
18052,516,2518,0.36,20,Employed,High School,Home,FL,1
4812,599,5223,0.20,24,Employed,High School,Business,FL,0
23020,850,7162,0.20,62,Employed,Bachelors,Debt Consolidation,CA,0
21392,451,4513,0.26,6,Unemployed,Masters,Business,FL,1
1000,731,6497,0.22,42,Unemployed,Bachelors,Car,NC,0
19111,805,8103,0.21,42,Employed,High School,Debt Consolidation,CA,0
15264,497,500,0.52,31,Employed,Bachelors,Debt Consolidation,NC,1
25984,676,3427,0.45,41,Employed,PhD,Education,GA,1
18038,501,1928,0.40,20,Employed,High School,Debt Consolidation,TX,1
4672,525,6005,0.16,8,Unemployed,High School,Car,NY,1
28550,708,6028,0.30,33,Employed,High School,Education,FL,0
18489,571,3634,0.29,23,Unemployed,High School,Car,NY,1
15575,465,500,0.47,22,Employed,Masters,Car,TX,1
13780,465,2347,0.27,12,Employed,High School,Business,GA,0
21755,588,3142,0.39,28,Self-Employed,Masters,Home,FL,1
21254,414,3767,0.31,6,Retired,Masters,Debt Consolidation,CA,1
16747,469,3095,0.29,9,Employed,High School,Education,OH,1
13751,365,1702,0.34,6,Employed,Bachelors,Home,NC,0
20685,634,2749,0.36,38,Employed,Masters,Home,NY,1
14511,391,1486,0.36,6,Unemployed,Bachelors,Car,NC,1
17171,514,1470,0.43,25,Employed,Bachelors,Car,FL,1
15722,485,500,0.48,25,Employed,Masters,Business,OH,1
18381,330,500,0.30,6,Employed,Masters,Car,FL,1
22144,712,3053,0.41,49,Self-Employed,High School,Debt Consolidation,TX,1
24155,673,2147,0.52,47,Employed,Masters,Home,GA,1
1478,415,1984,0.24,9,Self-Employed,Bachelors,Education,NC,0
16492,614,500,0.55,50,Employed,High School,Debt Consolidation,FL,1
16469,585,3914,0.27,25,Retired,Bachelors,Car,GA,0
21262,759,4354,0.24,50,Employed,Bachelors,Car,IL,0
20522,451,1724,0.10,9,Employed,Bachelors,Business,NC,1
11946,411,571,0.13,10,Unemployed,Masters,Business,NC,0
10221,363,500,0.46,11,Employed,Masters,Business,TX,1
21142,850,8140,0.20,53,Self-Employed,High School,Education,OH,0
16750,542,4076,0.36,18,Self-Employed,High School,Car,OH,1
13000,593,3111,0.43,32,Employed,Bachelors,Business,FL,1
11774,521,2664,0.18,20,Employed,Bachelors,Car,IL,1
18957,660,3452,0.54,41,Self-Employed,Masters,Debt Consolidation,GA,1
16969,390,1778,0.38,6,Employed,Masters,Business,IL,0
17127,545,4044,0.29,18,Employed,Masters,Debt Consolidation,FL,1
20623,772,1468,0.09,63,Employed,Bachelors,Business,TX,0
12472,464,588,0.05,17,Employed,High School,Home,FL,1
11535,545,2135,0.16,26,Employed,Bachelors,Car,TX,1
23975,519,1855,0.54,23,Unemployed,Masters,Business,CA,1
1000,368,2326,0.45,6,Employed,Bachelors,Car,FL,1
13016,380,500,0.05,6,Retired,High School,Education,IL,1
17231,659,3517,0.45,40,Employed,Masters,Home,FL,0
19351,717,6318,0.29,36,Self-Employed,High School,Education,OH,1
27174,704,3110,0.51,47,Employed,Masters,Business,NY,0
14022,505,589,0.43,28,Employed,Bachelors,Business,CA,1
9673,717,4416,0.45,48,Unemployed,Bachelors,Debt Consolidation,IL,0
22435,517,3072,0.40,17,Employed,High School,Business,FL,1
20786,817,6682,0.21,50,Employed,Bachelors,Debt Consolidation,IL,1
9812,526,500,0.05,38,Self-Employed,High School,Education,IL,0
2236,606,4658,0.29,29,Employed,High School,Education,TX,0
26192,676,3345,0.46,42,Employed,Masters,Car,NY,1
14839,441,1325,0.39,13,Employed,High School,Education,OH,1
22530,742,3094,0.28,53,Self-Employed,High School,Business,GA,1
3613,448,500,0.05,25,Employed,Masters,Debt Consolidation,NY,0
2721,644,6765,0.08,25,Employed,High School,Home,FL,1
19622,519,1664,0.47,25,Employed,Bachelors,Car,GA,1
23108,349,5473,0.20,6,Employed,High School,Education,CA,1
25132,656,3468,0.42,38,Employed,Masters,Business,OH,0
8707,713,8501,0.43,31,Employed,High School,Home,FL,0
16853,531,830,0.47,31,Self-Employed,Bachelors,Education,TX,1
13054,558,3172,0.39,26,Unemployed,High School,Education,TX,1
21153,438,4307,0.27,6,Employed,Masters,Education,IL,0
9721,556,2609,0.12,26,Self-Employed,Masters,Home,IL,1
4379,563,1823,0.26,33,Employed,Bachelors,Car,OH,1
20972,558,4287,0.28,18,Employed,Bachelors,Education,TX,1
4374,641,3424,0.09,38,Self-Employed,Bachelors,Car,IL,0
10606,528,876,0.41,31,Self-Employed,Masters,Debt Consolidation,NC,1
21225,564,3289,0.36,23,Employed,High School,Home,NC,1
22676,383,500,0.25,14,Employed,High School,Debt Consolidation,IL,1
16335,468,2564,0.36,12,Employed,High School,Debt Consolidation,IL,1
23247,700,3747,0.38,44,Unemployed,Bachelors,Debt Consolidation,CA,0
3198,551,2961,0.27,27,Employed,High School,Car,OH,0
9520,606,5589,0.30,23,Employed,Masters,Debt Consolidation,FL,0
9319,394,500,0.47,12,Employed,Bachelors,Car,OH,1
5537,594,4598,0.20,26,Employed,Bachelors,Education,CA,1
22355,509,2892,0.41,16,Employed,High School,Debt Consolidation,OH,1
14502,527,1092,0.41,29,Employed,Masters,Home,CA,1
18795,785,5823,0.14,48,Employed,Bachelors,Car,OH,0
14510,411,1097,0.25,8,Self-Employed,Bachelors,Debt Consolidation,NC,0
10779,549,3180,0.22,23,Employed,PhD,Home,GA,1
20423,662,3130,0.37,41,Employed,High School,Business,TX,0
20167,707,4188,0.27,43,Self-Employed,Masters,Home,NC,0
17979,472,1611,0.42,17,Self-Employed,Masters,Car,IL,1
25942,379,500,0.37,6,Employed,Bachelors,Debt Consolidation,NY,1
20322,446,2716,0.38,7,Employed,Bachelors,Debt Consolidation,NC,1
19397,818,6565,0.14,50,Employed,High School,Business,IL,0
7879,488,2436,0.13,16,Unemployed,High School,Home,CA,0
17224,737,6112,0.15,39,Self-Employed,Masters,Debt Consolidation,IL,0
9037,496,1801,0.10,19,Employed,Bachelors,Business,FL,1
16501,401,2103,0.36,6,Self-Employed,High School,Business,NC,1
20020,515,4574,0.23,9,Employed,High School,Home,GA,1
22952,676,2745,0.45,45,Self-Employed,Bachelors,Business,IL,1
10958,535,1854,0.29,27,Employed,Bachelors,Home,OH,1
13775,552,2605,0.16,24,Employed,Bachelors,Business,FL,1
9330,556,3651,0.18,22,Unemployed,High School,Business,FL,0
14127,460,1287,0.40,17,Employed,High School,Education,FL,0
23747,590,3967,0.35,24,Employed,Bachelors,Car,OH,1
11477,426,500,0.28,20,Employed,High School,Home,CA,0
17772,579,810,0.49,39,Self-Employed,High School,Education,IL,1
21930,470,3802,0.34,6,Employed,PhD,Education,IL,1
1000,735,8710,0.12,34,Employed,Masters,Car,CA,0
2647,427,880,0.43,17,Employed,PhD,Education,CA,0
16792,300,2704,0.30,6,Self-Employed,Masters,Debt Consolidation,TX,1
22118,537,3846,0.34,16,Employed,Bachelors,Business,NY,1
16235,465,1413,0.41,17,Self-Employed,High School,Education,FL,1
5836,534,1172,0.05,27,Employed,Bachelors,Debt Consolidation,TX,1
14580,462,1873,0.34,14,Self-Employed,High School,Car,NY,1
1000,521,1751,0.11,26,Self-Employed,High School,Car,FL,0
17744,670,500,0.53,56,Employed,Bachelors,Debt Consolidation,TX,1
18574,777,6282,0.16,45,Employed,Bachelors,Car,GA,0
20560,611,2937,0.37,33,Employed,Bachelors,Car,TX,1
22717,612,2709,0.45,34,Employed,High School,Debt Consolidation,TX,1
15228,557,2343,0.14,26,Employed,PhD,Car,IL,1
4924,724,4046,0.25,50,Employed,High School,Home,IL,0
19577,754,7475,0.28,37,Self-Employed,Bachelors,Business,TX,0
20972,628,1685,0.48,42,Employed,Masters,Business,NY,1
11158,482,2040,0.19,16,Employed,High School,Education,CA,1
15611,463,3212,0.09,6,Employed,PhD,Car,NY,1
7844,599,5161,0.07,22,Employed,Bachelors,Debt Consolidation,FL,0
1000,668,4686,0.14,39,Employed,Bachelors,Business,GA,0
19962,616,1987,0.45,39,Employed,Bachelors,Business,NC,0
18588,620,3252,0.32,33,Unemployed,Masters,Car,OH,1
20047,850,9500,0.13,53,Employed,High School,Car,NY,0
17939,525,1913,0.40,24,Self-Employed,High School,Business,IL,1
16687,597,2779,0.46,34,Self-Employed,Bachelors,Home,GA,1
6914,537,952,0.30,32,Self-Employed,Masters,Car,TX,0
1329,568,2213,0.35,34,Employed,Bachelors,Education,TX,1
12985,666,3449,0.51,44,Self-Employed,Bachelors,Education,TX,1
13768,604,6098,0.33,20,Employed,Masters,Debt Consolidation,NY,0
16084,465,2478,0.50,13,Self-Employed,PhD,Education,IL,1
19777,557,3866,0.29,20,Unemployed,Masters,Home,NY,0
14507,422,500,0.18,20,Employed,High School,Car,CA,1
16174,510,500,0.52,31,Unemployed,Bachelors,Debt Consolidation,NY,1
22843,796,7681,0.38,43,Self-Employed,Bachelors,Business,IL,1
20778,432,3696,0.32,6,Employed,Masters,Business,GA,1
1000,356,500,0.43,14,Self-Employed,High School,Car,OH,0
15137,757,10016,0.16,27,Retired,Bachelors,Home,TX,0
9834,672,7291,0.26,27,Employed,High School,Home,IL,0
25196,517,3786,0.59,15,Employed,Bachelors,Education,NC,1
20587,796,5117,0.18,53,Employed,Masters,Education,NY,0
23576,442,4672,0.29,6,Employed,Masters,Home,FL,1
23263,625,2978,0.43,35,Employed,Masters,Education,NC,1
24139,578,4033,0.37,22,Retired,Masters,Car,OH,1
16472,711,8633,0.25,26,Employed,High School,Education,FL,0
21544,330,500,0.32,6,Employed,Bachelors,Business,NY,1
14433,481,1970,0.25,16,Employed,High School,Business,CA,0
18654,660,2926,0.22,40,Employed,Masters,Debt Consolidation,NC,1
1000,351,1334,0.34,6,Employed,High School,Business,NC,0
20028,830,8894,0.24,43,Employed,High School,Car,NC,0
2917,620,4835,0.27,31,Retired,Bachelors,Car,TX,0
11126,565,500,0.48,44,Employed,Bachelors,Car,NC,1
13301,469,500,0.49,27,Self-Employed,Bachelors,Debt Consolidation,NY,1
2022,638,4316,0.26,36,Unemployed,Masters,Business,NC,0
4590,634,3826,0.25,37,Employed,High School,Debt Consolidation,IL,0
8435,456,500,0.12,21,Employed,High School,Car,OH,1
20491,503,2239,0.41,19,Employed,High School,Car,NY,1
6693,567,3731,0.20,25,Retired,Bachelors,Car,NC,1
21423,823,4648,0.16,59,Employed,Bachelors,Debt Consolidation,CA,0
18106,795,6074,0.10,49,Retired,High School,Business,TX,0
7055,480,500,0.16,24,Employed,Bachelors,Home,OH,1
6269,539,500,0.30,37,Employed,High School,Debt Consolidation,GA,1
6759,567,2161,0.37,33,Employed,Masters,Education,FL,1
2680,501,1330,0.17,25,Employed,High School,Business,TX,0
19248,795,8201,0.23,40,Unemployed,Bachelors,Car,OH,0
17982,701,6166,0.24,34,Employed,High School,Business,TX,0
26130,631,4607,0.36,28,Employed,Bachelors,Car,TX,1
12215,470,2330,0.49,16,Employed,High School,Car,TX,1
19759,553,1991,0.43,28,Employed,High School,Education,CA,1
1000,687,2588,0.37,56,Unemployed,Bachelors,Car,FL,0
13170,617,3307,0.23,33,Retired,PhD,Car,FL,0
1000,528,3704,0.46,24,Employed,PhD,Education,IL,1
1000,432,1300,0.26,16,Retired,High School,Business,NC,1
19348,764,6925,0.24,41,Employed,Bachelors,Business,NC,0
13007,500,944,0.10,22,Employed,Bachelors,Debt Consolidation,TX,0
22199,615,4753,0.26,25,Self-Employed,Bachelors,Business,NC,1
23163,587,3211,0.41,28,Employed,High School,Business,NY,1
6967,657,2555,0.28,45,Employed,High School,Car,TX,0
1000,721,5906,0.05,42,Self-Employed,Bachelors,Business,NC,0
23443,466,5552,0.22,6,Employed,Bachelors,Debt Consolidation,GA,0
15109,385,2199,0.32,6,Employed,High School,Education,NY,1
21298,748,6524,0.34,40,Employed,Bachelors,Home,NC,1
24332,379,1879,0.14,6,Self-Employed,Masters,Debt Consolidation,FL,1
22080,581,3211,0.39,27,Employed,Bachelors,Car,NY,1
17054,415,2160,0.36,6,Employed,High School,Home,NC,1
12255,512,2400,0.30,20,Self-Employed,Masters,Debt Consolidation,OH,1
8143,300,500,0.45,6,Employed,Bachelors,Business,NC,1
1961,454,1930,0.41,17,Employed,Bachelors,Education,TX,0
20339,549,3389,0.35,21,Employed,Bachelors,Education,NY,1
